"id","title","time","director","year","star","cost"
5229,"Last Night    ","1 hour, 35 minutes","Don McKellar",2000,"Don McKellar, Sandra Oh","Rent SD $2.99,Buy SD $6.99,"
5230,"Summer   ","1 hour, 25 minutes","Colette Bothof",2015,"Sigrid ten Napel,Jade Olieberg","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $9.99,"
5231,"Tom Hanks Double Feature (The Green Mile / Forrest Gump) [Blu-ray] "," 329 minutes ","Various",03/12/13,"Various",$9.75
5232,"Doubt (English Subtitled)   ","1 hour, 53 minutes","Crisaldo Pablo",2003,"Andoy Ranay, Paulo Gabriel","Buy SD $9.99,"
5233,"Cry Danger   ",,,,,
5234,"The Town "," 125 minutes ","Ben Affleck",12/17/10,"Ben Affleck",$4.75
5235,"Restless Heart: The Confessions of Augustine "," 133 minutes ","Christian Duguay",11/15/13,"Alessandro Preziosi",$21.70
5236,"Madea's Family Reunion (Full Screen Edition) "," 107 minutes ","Tyler Perry",06/27/06,"Tyler Perry",$5.99
5237,"Jobs "," 129 minutes ","Joshua Michael Stern",11/26/13,"Ashton Kutcher",$8.17
5238,"Kinky Boots "," 107 minutes ","Julian Jarrold",09/05/06,"Chiwetel Ejiofor",$12.02
5239,"French Kiss "," 111 minutes ","Lawrence Kasidan",01/14/03,"Meg Ryan",$6.55
5240,"El Cid (DVD) - BY GOLDEN CLASSIC COLLECTIBLES "," 182 minutes ","Anthony Mann",05/04/04,"Charlton Heston",$14.69
5241,"Wall Street    ","2 hours, 6 minutes","Oliver Stone",1987,"Charlie Sheen, Tamara Tunie","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
5242,"American Beauty [Blu-ray] "," 121 minutes ","Various",09/21/10,"Various",$9.65
5243,"The Mechanic    ","1 hour, 33 minutes","Simon West",2011,"Jason Statham, Ben Foster","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5244,"Kate & Leopold    ","1 hour, 59 minutes","James Mangold",2001,"Meg Ryan, Hugh Jackman","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
5245,"Fair Game    ","1 hour, 48 minutes","Doug Liman",2010,"Naomi Watts, Sonya Davison","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
5246,"Stranger Than Fiction    ","1 hour, 53 minutes","Marc Forster",2006,"Will Ferrell, William Dick","Buy HD $12.99,Buy SD $9.99,"
5247,"Back Of Beyond   ",,,,,
5248,"A Simple Curve    ","1 hour, 32 minutes","Aubrey Nealon",2005,"Kris Lemche, Michael Hogan","Buy SD $9.99,"
5249,"Varsity Blues (1999) (BD) [Blu-ray] "," 104 minutes ","Various",09/15/09,"Various",$5.00
5250,"Chisum "," 111 minutes ","Andrew V. McLaglen",05/22/07,"John Wayne",$4.76
5251,"TCM Greatest Classic Legends: James Stewart (The Shop Around the Corner / The Stratton Story / The FBI Story / The Spirit of St. Louis) "," 485 minutes ","Ernst Lubitsch",10/16/12,"James Stewart",$9.26
5252,"Hanna    ","1 hour, 52 minutes","Joe Wright",2011,"Saoirse Ronan, Eric Bana","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5253,"The Golden Compass    ","1 hour, 53 minutes","Chris Weitz",2007,"Nicole Kidman, Daniel Craig","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5254,"Breaker Morant [Blu-ray] "," 107 minutes ","Bruce Beresford",09/22/15,"Edward Woodward",$26.19
5255,"An Ox's Tale: The John Entwistle Story    ","1 hour, 18 minutes","Glenn Aveni",2006,"Gordon Cotten, John Entwistle","Buy SD $9.99,"
5256,"One Of Our Aircraft Is Missing - 1942    ","1 hour, 39 minutes","Michael Powell",2011,"Godfrey Tearle, Eric Portman","Buy SD $5.99,"
5257,"The Exorcist: 40th Anniversary [Blu-ray] "," 132 minutes ","William Friedkin",10/08/13,"Ellen McRae",$29.99
5258,"Too Young The Hero    ","1 hour, 34 minutes","Buzz Kulik",1988,"Ricky Schroder, Jon DeVries","Buy SD $9.99,"
5259,"Nexus    ","1 hour, 21 minutes","Neil Coombs",2011,"Grace Kosaka, Andrew Kraulis",
5260,"Family of Spies   ",,,,,"Buy SD $5.96,"
5261,"Affliction    ","1 hour, 55 minutes","Paul Schrader",1998,"Nick Nolte, Brigid Tierney","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
5262,"A Man for All Seasons (Special Edition) "," 120 minutes ","Fred Zinnemann",02/20/07,"Leo McKern",$9.55
5263,"City Slickers (Collector's Edition) "," 114 minutes ","Ron Underwood",06/03/08,"Billy Crystal",$7.99
5264,"Notting Hill (Collector's Edition) "," 124 minutes ","Roger Michell",11/09/99,"Julia Roberts",$9.11
5265,"Je t'aime je t'aime [Blu-ray] "," 84 minutes ","Alain Resnais",11/10/15,"Claude Rich",$19.99
5266,"Walk The Line    ","2 hours, 16 minutes","James Mangold",2005,"Joaquin Phoenix, Reese Witherspoon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
5267,"Bullitt "," 114 minutes ","Peter Yates",10/05/10,"Steve McQueen",$5.00
5268,"It Happened One Night "," 105 minutes ",,12/09/08,"Clark Gable",$9.52
5269,"Officer And A Gentleman, An "," 125 minutes ","Various",05/01/07,"Various",$8.73
5270,"The Hundred-Foot Journey (Theatrical)    ","2 hours, 3 minutes","Lasse Hallström",2014,"Helen Mirren, Om Puri","Buy HD $19.99,Buy SD $14.99,"
5271,"Ultimate Betrayal   ",,,,,"Buy SD $4.95,"
5272,"The Last Samurai (2003)    ","2 hours, 35 minutes","Edward Zwick",2003,"Ken Watanabe, Tom Cruise","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5273,"Snatch    ","1 hour, 43 minutes","Guy Ritchie",2000,"Benicio Del Toro, Dennis Farina","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
5274,"I Love Your Moves    ","1 hour, 45 minutes","Henri Charr",2012,"Andoni Zorbas, Erika Cortes","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
5275,"Mister Roberts "," 123 minutes ","John Ford",09/19/06,"Henry Fonda",$9.23
5276,"Why Don't You Play in Hell? (English Subtitled)   ","2 hours, 10 minutes","Shion Sono",2014,"Jun Kunimura, Fumi Nikaidô","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
5277,"How Do You Know    ","2 hours, 1 minute","James L. Brooks",2010,"Reese Witherspoon, Paul Rudd","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
5278,"Phantom of The Paradise (Collector's Edition) [Blu-ray] "," 92 minutes ","Brian De Palma",08/05/14,"Paul Williams",$17.49
5279,"Godzilla (Mastered in 4K) (Single-Disc Blu-ray + Ultra Violet Digital Copy) "," 139 minutes ","Roland Emmerich",07/16/13,"Maria Pitillo",$9.99
5280,"Sherlock Holmes "," 1 minutes ","Guy Ritchie",03/30/10,"Robert Downey Jr.",$5.00
5281,"The Cat and the Canary "," 75 minutes ","Elliott Nugent",06/27/11,"Bob Hope",$14.98
5282,"Abraham (The Bible Collection) "," 187 minutes ","Various",09/06/05,"Various",$12.45
5283,"Life as We Know It "," 115 minutes ","Greg Berlanti",02/08/11,"Katherine Heigl",$3.99
5284,"Last Holiday (2006) "," 112 minutes ","Various",05/02/06,"Various",$4.99
5285,"The Four Seasons "," 108 minutes ","Alan Alda",05/31/05,"Carol Burnett",$9.99
5286,"Yaadein    ","2 hours, 59 minutes","Subhash Ghai",2010,"Jakkei Shrof,Hritik Roshan","Buy SD $4.99,"
5287,"Fact or Fiction: The Life & Times of a Ping Pong Hustler    ","1 hour, 0 minutes","Leo Leigh",2014,"Marty Reisman","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
5288,"Naomi (With English Subtitles)   ","1 hour, 39 minutes","Eitan Tzur",2010,"Suhel Haddad, Rami Heuberger","Buy SD $9.99,"
5289,"Big Muddy    ","1 hour, 44 minutes","Jefferson Moneo",2015,"Nadia Litz, Justin Kelly","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
5290,"Trouble With The Curve    ","1 hour, 52 minutes","Robert Lorenz",2012,"Clint Eastwood, Chelcie Ross","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
5291,"The Village "," 108 minutes ",,01/11/05,"Joaquin Phoenix",$4.99
5292,"Fast Five "," 263 minutes ","Justin Lin",10/04/11,"Dwayne Johnson",$8.00
5293,"The Philadelphia Story "," 113 minutes ","George Cukor",11/09/10,"James Stewart",$8.16
5294,"Four Christmases "," 120 minutes ","Seth Gordon",11/24/09,"Reese Witherspoon",$9.99
5295,"55 Days at Peking (1963) (Import, All Region NTSC) "," 154 minutes ",,02/04/14,,$12.29
5296,"Targeting    ","1 hour, 25 minutes","Tarique Qayumi",2014,"Tajana Prka, Bobby Naderi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5297,"Interstate 60    ","1 hour, 57 minutes","Bob Gale",2002,"Matthew Edison, Paul Brogren","Buy SD $3.99,"
5298,"My Name Is Bill W "," 100 minutes ","Daniel Petrie",06/06/06,"James Woods",$13.51
5299,"Enough Said    ","1 hour, 33 minutes","Nicole Holofcener",2013,"Julia Louis-Dreyfus, Lennie Loftin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
5300,"Philadelphia    ","2 hours, 6 minutes","Jonathan Demme",1993,"Tom Hanks, Denzel Washington","Buy HD $12.99,Buy SD $9.99,"
5301,"Bible Revelations: The Sacred Codes    ","59 minutes","Steve Miller",2014,"Melissa Hollet,Charles Thompsen","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
5302,"Perfect Sisters    ","1 hour, 41 minutes","Stanley M. Brooks",2014,"Abigail Breslin, Georgie Henley","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
5303,"The Next Three Days "," 133 minutes ","Paul Haggis",03/08/11,"Russell Crowe",$5.00
5304,"3 Hearts (English Subtitled)  ",,,,,"Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
5305,"Bride of Chucky   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
5306,"Clash of the Titans (2010)    ","1 hour, 47 minutes","Louis Leterrier",2010,"Sam Worthington, Liam Neeson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5307,"Fargo    ","1 hour, 39 minutes","Joel Coen",1996,"William H. Macy, Steve Buscemi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5308,"Carousel (50th Anniversary Edition) "," 128 minutes ","Henry King",11/07/06,"Gordon MacRae",$8.31
5309,"Son of God "," 138 minutes ","Christopher Spencer",06/03/14,"Darwin Shaw",$22.50
5310,"The King and I   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
5311,"Dead Presidents "," 119 minutes ","Albert Hughes",05/20/98,"Larenz Tate",$4.99
5312,"47 Ronin (Blu-ray + DVD + Digital HD with UltraViolet) "," 238 minutes ","Carl Rinsch",04/01/14,"Keanu Reeves",$10.45
5313,"The Courageous Heart of Irena Sendler "," 95 minutes ","John Kent Harrison",10/05/10,"Anna Paquin",$10.79
5314,"Life "," 109 minutes ","Ted Demme",10/19/99,"Eddie Murphy",$4.89
5315,"Coal Miner's Daughter -  25th Anniversary Edition "," 125 minutes ","Michael Apted",09/13/05,"Sissy Spacek",$7.50
5316,"Ghost Story "," 111 minutes ","John Irvin",09/07/04,"Fred Astaire",$9.93
5317,"Five for Hell   ",,,,,"Buy SD $7.99,"
5318,"Crazy    ","1 hour, 47 minutes","Rick Bieber",2008,"Waylon Payne, Ali Larter","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
5319,"The Road to Ruin   ",,,,,"Buy SD $7.99,"
5320,"Casualties   ",,,,,
5321,"Lost for Words    ","1 hour, 47 minutes","Stanley J. Orzel",2014,"Jennifer Birmingham Lee, Candy Cheung","Rent SD $2.99,Buy SD $9.99,"
5322,"Sometimes In April    ","2 hours, 21 minutes","Raoul Peck",2005,"Idris Elba, Carole Karemera","Buy HD $9.99,Buy SD $7.99,"
5323,"Bachelorette    ","1 hour, 28 minutes","Leslye Headland",2012,"Kirsten Dunst, Rebel Wilson","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
5324,"The Back Up Plan    ","1 hour, 45 minutes","Alan Poul",2010,"Jennifer Lopez, Alex O'Loughlin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5325,"Polycarp "," 93 minutes ","Joe Henline",05/05/15,"Garry Nation",$15.62
5326,"A Very Merry Mix-Up    ","1 hour, 27 minutes","Jonathan Wright",2013,"Alicia Witt, Mark Wiebe","Buy HD $7.99,Buy SD $5.99,"
5327,"Sons of Anarchy: Cast & Creators Live at PALEYFEST    ","1 hour, 10 minutes","The Paley Center for Media",2013,"Katey Sagal,Dayton Callie","Buy SD $7.99,"
5328,"The Orphanage "," 105 minutes ","Juan Antonio Bayona",04/22/08,"Belén Rueda",$4.73
5329,"Joseph: Beloved Son, Rejected Slave, Exalted Ruler    ","1 hour, 32 minutes","Robert Fernandez",2015,"Mike McFarland,Bob Magruder","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
5330,"Hello Lonesome    ","1 hour, 34 minutes","Adam Reid",2010,"Sabrina Lloyd, James Urbaniak","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
5331,"Hamlet (1996)    ","4 hours, 3 minutes","Kenneth Branagh",1996,"Riz Abbasi, Richard Attenborough","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5332,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (Plus Bonus Features)    ","1 hour, 49 minutes","Miguel Arteta",2014,"Steve Carell, Jennifer Garner","Buy HD $19.99,Buy SD $14.99,"
5333,"A Clockwork Orange [Blu-ray] "," 137 minutes ","Stanley Kubrick",10/23/07,"Malcolm McDowell",$6.99
5334,"August: Osage County "," 119 minutes ","John Wells",04/08/14,"Meryl Streep",$6.99
5335,"TYLER PERRY: HELL HATH NO FURY LIKE A WOMEN SCORNED (PLAY) - DVD + DIGITAL ULTRAVIOLET "," 117 minutes ","Tyler Perry",11/25/14,,$9.96
5336,"The Gambler    ","1 hour, 51 minutes","Rupert Wyatt",2014,"Mark Wahlberg, George Kennedy","Buy HD $14.99,Buy SD $12.99,"
5337,"There Will Be Blood (2007) (BD) [Blu-ray] "," 158 minutes ","Various",06/03/08,"Various",$8.69
5338,"TCM Greatest Classic Film Collection: Legends - Bette Davis (Now, Voyager / Dark Victory / Old Acquaintance / Jezebel) "," 518 minutes ","William Wyler",04/05/11,"Bette Davis",$9.96
5339,"Major Crimes:  Season 2 "," 836 minutes ",,06/10/14,"Mary McDonnell",$12.96
5340,"Persona (Criterion Collection) (Blu-ray + DVD) "," 83 minutes ","Ingmar Bergman",03/25/14,"Liv Ullmann",$22.82
5341,"Patch Adams   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5342,"Teenage Mutant Ninja Turtles 2    ","1 hour, 29 minutes","Michael Pressman",1991,"Paige Turco, David Warner","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5343,"The Day of the Jackal "," 143 minutes ","Fred Zinnemann",04/29/98,"Edward Fox",$9.99
5344,"Total Recall (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) "," 118 minutes ","Len Wiseman",05/14/13,"Colin Farrell",$9.99
5345,"Wildflower   ",,,,,"Buy SD $5.96,"
5346,"Burn After Reading    ","1 hour, 37 minutes","Ethan Coen",2008,"George Clooney, Frances McDormand","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5347,"The Southerner [Blu-ray] "," 92 minutes ","Jean Renoir",01/12/16,"Zachary Scott",$26.96
5348,"The Exorcist    ","2 hours, 2 minutes","William Friedkin",1973,"Ellen Burstyn, Max von Sydow","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
5349,"Drop Dead Fred "," 103 minutes ","Ate de Jong",07/22/03,"Phoebe Cates",$95.99
5350,"Caligula (The Imperial Edition) [Blu-ray] "," 156 minutes ",,11/04/08,"Malcolm McDowell",$11.59
5351,"Children Of The Grave 2    ","1 hour, 20 minutes","Christopher Saint Booth",2012,"Keith Age, Betsy Bellanger","Buy SD $9.99,"
5352,"Uptown   ",,,,,"Buy SD $2.95,"
5353,"Stick It    ","1 hour, 44 minutes","Jessica Bendinger",2006,"Jeff Bridges, Missy Peregrym","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
5354,"Blue Is the Warmest Color (Criterion Collection) (Blu-ray) "," 179 minutes ","Abdellatif Kechiche",02/25/14,"Léa Seydoux",$15.29
5355,02:22:00 AM,"1 hour, 45 minutes","Phillip Guzman",2010,"Mick Rossi, Robert Miano","Rent SD $1.99,Buy HD $7.99,Buy SD $5.99,"
5356,2012," 158 minutes ","Roland Emmerich",03/02/10,"John Cusack",$5.00
5357,"Das Boot - The Director's Cut "," 208 minutes ","Wolfgang Petersen",12/09/97,"Herbert Gronemeyer",$9.63
5358,"Nice Guys Sleep Alone   ",,,,,
5359,"Mississippi Burning "," 128 minutes ","Alan Parker",05/08/01,"Gene Hackman",$15.19
5360,"Sagwan (English Subtitled)   ","1 hour, 42 minutes","Monti Parungao",2009,"Ryan Dungo, Dennis Torres","Buy SD $9.99,"
5361,"The Weight of Water    ","1 hour, 55 minutes","Kathryn Bigelow",2002,"Ciarán Hinds, Richard Donat","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
5362,"Xanadu (Magical Edition) "," 96 minutes ","Robert Greenwald",02/03/09,"Olivia Newton-John",$9.95
5363,"A Good Year    ","1 hour, 58 minutes","Ridley Scott",2006,"Freddie Highmore, Albert Finney","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
5364,"Body of Lies    ","2 hours, 9 minutes","Ridley Scott",2008,"Leonardo DiCaprio, Russell Crowe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5365,"The Miracle Worker "," 106 minutes ","Arthur Penn",03/06/01,"Anne Bancroft",$19.99
5366,"Classic Westerns, 10-Movie Collection: When Daltons Rode / The Virginian / Whispering Smith / The Spoilers / Comanche Territory / Sierra / Kansas Raiders / Tomahawk / Albuquerque / Texas Rangers Ride Again "," 835 minutes ","James Hogan",03/12/13,"Randolph Scott",$8.99
5367,"The Uninvited    ","1 hour, 28 minutes","Charles Guard",2009,"Emily Browning, Arielle Kebbel","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
5368,"Are You Joking?    ","1 hour, 32 minutes","Jake Wilson",2015,"Sas Goldberg,Jake Wilson","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $9.99,"
5369,"Under the Same Moon (English Subtitled)    ","1 hour, 51 minutes","Patricia Riggen",2007,"Adrian Alonso, Kate del Castillo","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
5370,"One Hundred Mornings    ","1 hour, 24 minutes","Conor Horgan",2009,"Ciarán McMenamin, Alex Reid","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
5371,"Double Jeopardy (1999) "," 105 minutes ","Bruce Beresford",02/22/00,"Tommy Lee Jones",$4.58
5372,"Seven Days in Utopia "," 100 minutes ","Matt Russell",11/29/11,"Robert Duvall",$4.65
5373,"Coyote Ugly "," 101 minutes ","David McNally",01/16/01,"Piper Perabo",$4.99
5374,"The Vietnam War    ","29 minutes","Rick Manning",2000,"Andy Chase, Stephen Croce","Buy SD $9.99,"
5375,"The Great Alaska Cruise - Presented by Total Content Digital    ",,,2007,,"Buy SD $5.99,"
5376,"Annie Hall    ","1 hour, 34 minutes","Woody Allen",1977,"Woody Allen, Diane Keaton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5377,"Taxi Driver (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) "," 114 minutes ","Martin Scorsese",05/14/13,"Cybill Shepherd",$18.39
5378,"Gone in 60 Seconds "," 127 minutes ","Dominic Sena",12/05/00,"Nicolas Cage",$4.99
5379,"The Strange Affair Of Uncle Harry   ",,,,,
5380,"The Fugitive (20th Anniversary Edition) [Blu-ray] "," 130 minutes ","Andrew Davis",09/03/13,"Harrison Ford",$6.99
5381,"Deliverance    ","1 hour, 50 minutes","John Boorman",1972,"Jon Voight, Burt Reynolds","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5382,"Great Gain    ","1 hour, 47 minutes","Jeffery Peterson",2013,"Dimitria Alderidge, Paul Archer","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
5383,"To Save a Life "," 120 minutes ","Brian Baugh",08/03/10,"Randy Wayne",$9.91
5384,"Out 1 (LIMITED EDITION DELUXE BOX SET, DUAL FORMAT: 6 BLU-RAYs & 7 DVDs) "," 775 minutes ","Jacques Rivette",01/12/16,"Jean-Pierre Leaud",$89.96
5385,"12 Monkeys [Blu-ray] "," 130 minutes ","Terry Gilliam",07/28/09,"Brad Pitt",$7.92
5386,"Good Boys (English Subtitled)   ","1 hour, 14 minutes","Yair Hochner",2005,"Daniel Efrat, Dana Balalti","Buy SD $9.99,"
5387,"Tales of Tomorrow: Appointment on Mars (1952)    ","24 minutes","Don Medford",2006,"Leslie Nielsen, William Redfield","Buy SD $4.99,"
5388,"Gatling Gun    ","1 hour, 45 minutes","Robert Gordon",1973,"Guy Stockwell, Robert Fuller","Buy SD $9.99,"
5389,"Delivered    ","1 hour, 30 minutes","Michael Madison",2011,"Michael Madison, Jeanette May Steiner","Rent SD $1.99,Buy HD $9.99,Buy SD $7.99,"
5390,"The Darjeeling Limited   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
5391,"Jacob's Ladder    ","1 hour, 54 minutes","Adrian Lyne",1990,"Tim Robbins, Elizabeth Peña","Buy HD $6.99,Buy SD $6.99,"
5392,"The Grand Budapest Hotel Extended Preview    ","11 minutes","Wes Anderson",2014,"Ralph Fiennes, F. Murray Abraham","Buy SD Free,"
5393,"High Noon "," 85 minutes ","Fred Zinnemann",07/17/12,"Gary Cooper",$8.99
5394,"Bells of St. Mary's "," 126 minutes ","Leo McCarey",11/19/13,"Bing Crosby",$12.74
5395,"Fire Over England    ","1 hour, 30 minutes","William K. Howard",2013,"Flora Robson, Raymond Massey","Rent HD $2.99,Rent SD $1.99,Buy HD $9.99,Buy SD $7.99,"
5396,"Citizen Kane (70th Anniversary Edition) [Blu-ray Book] "," 119 minutes ","Orson Welles",01/17/12,"Orson Welles",$26.49
5397,"Transcendence (2014)    ","2 hours, 0 minutes","Wally Pfister",2014,"Johnny Depp, Rebecca Hall","Buy HD $14.99,Buy SD $9.99,"
5398,"We Were Soldiers (2002) "," 84 minutes ","Various",08/20/02,"Various",$5.00
5399,"The Elia Kazan Collection "," 1785 minutes ","Elia Kazan",11/09/10,"Montgomery Clift",$27.87
5400,"Mr. Turner "," 150 minutes ","Mike Leigh",05/05/15,"Timothy Spall",$15.49
5401,"Hey Hey It's Esther Blueburger    ","1 hour, 42 minutes","Cathy Randall",2008,"Danielle Catanzariti, Cassandra Jinman","Rent SD $2.99,Buy HD $14.99,Buy SD $7.99,"
5402,"Jesse Stone: Sea Change   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5403,"Young Believers, The    ","1 hour, 20 minutes","Jay Gerren",2015,"Kelsey Tanaka, Ryan N. Taylor","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
5404,"Candyman (Special Edition) "," 99 minutes ","Bernard Rose",08/17/04,"Kasi Lemmons",$9.95
5405,"Freetown "," 113 minutes ","Garrett Batty",08/04/15,"Henry Adofo",$19.98
5406,"Step Up (Widescreen Edition) "," 103 minutes ","Anne Fletcher",12/19/06,"Channing Tatum",$4.99
5407,"Clemence (English Subtitled)   ","1 hour, 47 minutes","Franck Buchter",2005,"Benjamin Bellecour, Caroline Bourg","Buy SD $9.99,"
5408,"Unfaithful    ","2 hours, 4 minutes","Adrian Lyne",2002,"Diane Lane, Erik Per Sullivan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
5409,"Cake "," 102 minutes ",,04/21/15,"Sam Worthington",$10.98
5410,"The Fatal Witness   ",,,,,
5411,"Imitation of Life Two-Movie Special Edition "," 236 minutes ","John M. Stahl",01/10/12,"Claudette Colbert",$9.61
5412,"Luna Park    ","1 hour, 8 minutes","Steven Vasquez",2013,"Laura Reilly, Michael Brent","Buy SD $14.99,"
5413,"Slam Dance [Blu-ray] "," 92 minutes ","Wayne Wang",10/20/15,"Tom Hulce",$14.49
5414,"The Third Man [Blu-ray] "," 105 minutes ","Carol Reed",09/14/10,"Joseph Cotten",$13.96
5415,"Mr. Wong Detective    ","1 hour, 14 minutes","William Nigh",1938,"Boris Karloff, Grant Withers","Buy SD $7.98,"
5416,"The Long Gray Line "," 137 minutes ","John Ford",01/01/02,"Ward Bond",$10.19
5417,"3 Nights in the Desert    ","1 hour, 23 minutes","Gabriel Cowan",2015,"Wes Bentley, Vincent Piazza","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5418,"Blood Angels (aka Thralls)    ","1 hour, 43 minutes","Ron Oliver",2004,"Lorenzo Lamas, Leah Cairns","Rent SD $2.00,Buy SD $4.99,"
5419,"Heavy Metal (Collector's Edition) "," 90 minutes ","Gerald Potterton",01/15/08,,$14.41
5420,"A Good Year (Widescreen Edition) "," 117 minutes ","Ridley Scott",02/27/07,"Russell Crowe",$6.28
5421,"2010: The Year We Make Contact    ","1 hour, 56 minutes","Peter Hyams",1984,"Roy Scheider, John Lithgow","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
5422,"The Impossible - 10 Minute Preview    ","11 minutes","J.A. Bayona",2012,"Naomi Watts, Ewan McGregor","Buy SD Free,"
5423,"Inglourious Basterds (Single-Disc Edition) "," 153 minutes ","Quentin Tarantino",12/15/09,"Brad Pitt",$4.68
5424,"Shenandoah "," 106 minutes ","Andrew V. McLaglen",05/06/03,"James Stewart",$6.15
5425,"Women in Trouble    ","1 hour, 36 minutes","Sebastian Gutierrez",2009,"Carla Gugino, Adrianne Palicki","Rent SD $1.99,Buy HD $14.99,Buy SD $3.99,"
5426,"The Sensation of Sight    ","2 hours, 15 minutes","Aaron J. Wiederspahn",2006,"David Strathairn, Ian Somerhalder","Buy SD $7.99,"
5427,"In Cold Blood (The Criterion Collection) [Blu-ray] "," 134 minutes ","Richard Brooks",11/17/15,"Robert Blake",$27.99
5428,"Iron Man [Blu-ray] "," 125 minutes ","Jon Favreau",09/24/13,"Jr. Robert Downey",$16.40
5429,"That Awkward Moment    ","1 hour, 35 minutes","Tom Gormican",2014,"Zac Efron, Miles Teller","Buy HD $12.99,Buy SD $9.99,"
5430,"Atonement    ","2 hours, 3 minutes","Joe Wright",2007,"Saoirse Ronan, Ailidh Mackay","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
